gene	slope	AveExpr	t	P.Value	adj.P.Val	B
Ccdc97	0.044271312733663	6.91225239309806	0.520542180727211	0.608920739957571	0.850063525107644	-6.35223733331892
Cilk1	-0.0270194044763983	4.91561978143766	-0.521077952209994	0.608554862391501	0.850063525107644	-6.35195399644294
Cmtm3	-0.032631874364761	9.03435284383614	-0.520580544684739	0.608894537740668	0.850063525107644	-6.35221705435977
Cyp20a1	-0.0272044455474979	4.81506929273561	-0.520350880091877	0.609051404581848	0.850063525107644	-6.35233843205236
Dbt	-0.0364233855864628	7.99171047788142	-0.520734847845662	0.608789155646806	0.850063525107644	-6.35213547598549
Dll1	0.0307094557591176	4.79391732106424	0.520998874931108	0.60860885747569	0.850063525107644	-6.35199583338302
Filip1l	0.0370876509724378	8.38602312927634	0.520372801948822	0.609036430546886	0.850063525107644	-6.35232684859852
Itgb2l	0.0178412433646665	4.58037536046754	0.520968873349063	0.608629343585073	0.850063525107644	-6.35201170452765
Krt79	0.0255414759165846	4.61595724182523	0.520520388095065	0.608935624359555	0.850063525107644	-6.35224885212855
Or4e2	-0.026213565292001	4.76219243021187	-0.52040441156861	0.60901483946079	0.850063525107644	-6.35231014532175
Spc25	-0.0595245560658532	5.2712788980765	-0.520886236994896	0.608685772242875	0.850063525107644	-6.35205541542206
Srp14	-0.0267762821070516	11.8093167524052	-0.520290439717481	0.609092690155231	0.850063525107644	-6.35237036614141
Smim12	-0.0314957479532221	9.42181175122527	-0.520176487636205	0.609170532141931	0.850098035306618	-6.35243056372108
Cnppd1	-0.0291459463893079	4.8814931863195	-0.519535561856279	0.609608445281528	0.850429874270704	-6.3527689078816
Ifna1	-0.0395046696449156	5.0349019506565	-0.519518178862416	0.609620324340138	0.850429874270704	-6.3527780787114
Mbd5	-0.0246520220878532	4.71265289053521	-0.519517387411	0.609620865198862	0.850429874270704	-6.35277849625415
