Term	Ont	N	DE	P.DE	FDR	ratio
GO:0051481	negative regulation of cytosolic calcium ion concentration	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0007617	mating behavior	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0016342	catenin complex	CC	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0042923	neuropeptide binding	MF	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0099504	synaptic vesicle cycle	BP	86	18	0.0079039316400693	0.527170932662716	0.209302325581395
GO:0019725	cellular homeostasis	BP	217	37	0.0081705135392482	0.527170932662716	0.170506912442396
GO:0031281	positive regulation of cyclase activity	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0045762	positive regulation of adenylate cyclase activity	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0051349	positive regulation of lyase activity	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0045987	positive regulation of smooth muscle contraction	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0001963	synaptic transmission, dopaminergic	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0022410	circadian sleep/wake cycle process	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0032095	regulation of response to food	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0009129	pyrimidine nucleoside monophosphate metabolic process	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0009130	pyrimidine nucleoside monophosphate biosynthetic process	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0098700	neurotransmitter loading into synaptic vesicle	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0032591	dendritic spine membrane	CC	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0030547	signaling receptor inhibitor activity	MF	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0098655	monoatomic cation transmembrane transport	BP	218	37	0.0088009081922855	0.554950066972755	0.169724770642202
GO:0019229	regulation of vasoconstriction	BP	27	8	0.00889667867414361	0.556536677060317	0.296296296296296
GO:0042596	fear response	BP	27	8	0.00889667867414361	0.556536677060317	0.296296296296296
GO:0044060	regulation of endocrine process	BP	17	6	0.00920565810448868	0.573588910510512	0.352941176470588
GO:0006940	regulation of smooth muscle contraction	BP	22	7	0.00935407743523934	0.573778455377538	0.318181818181818
GO:0001662	behavioral fear response	BP	22	7	0.00935407743523934	0.573778455377538	0.318181818181818
GO:0002209	behavioral defense response	BP	22	7	0.00935407743523934	0.573778455377538	0.318181818181818
GO:0060079	excitatory postsynaptic potential	BP	44	11	0.00935429225019204	0.573778455377538	0.25
GO:0015850	organic hydroxy compound transport	BP	75	16	0.00992209807449582	0.596587285146688	0.213333333333333
GO:0042310	vasoconstriction	BP	33	9	0.0101023963338409	0.596587285146688	0.272727272727273
GO:0046888	negative regulation of hormone secretion	BP	33	9	0.0101023963338409	0.596587285146688	0.272727272727273
GO:0015075	monoatomic ion transmembrane transporter activity	MF	184	32	0.0101158750651144	0.596587285146688	0.173913043478261
GO:0070382	exocytic vesicle	CC	115	22	0.0105721203523883	0.596587285146688	0.191304347826087
GO:0007626	locomotory behavior	BP	95	19	0.0106032710558083	0.596587285146688	0.2
GO:0034329	cell junction assembly	BP	178	31	0.0110484339093069	0.596587285146688	0.174157303370787
GO:0051965	positive regulation of synapse assembly	BP	28	8	0.0112332969010845	0.596587285146688	0.285714285714286
GO:0006816	calcium ion transport	BP	109	21	0.0114037185607531	0.596587285146688	0.192660550458716
GO:0032094	response to food	BP	13	5	0.0116226971314623	0.596587285146688	0.384615384615385
GO:0030201	heparan sulfate proteoglycan metabolic process	BP	13	5	0.0116226971314623	0.596587285146688	0.384615384615385
GO:0032281	AMPA glutamate receptor complex	CC	13	5	0.0116226971314623	0.596587285146688	0.384615384615385
GO:0005834	heterotrimeric G-protein complex	CC	13	5	0.0116226971314623	0.596587285146688	0.384615384615385
GO:0050806	positive regulation of synaptic transmission	BP	70	15	0.0118434934126122	0.596587285146688	0.214285714285714
GO:0050803	regulation of synapse structure or activity	BP	137	25	0.012162586254766	0.596587285146688	0.182481751824818
GO:0055080	monoatomic cation homeostasis	BP	137	25	0.012162586254766	0.596587285146688	0.182481751824818
GO:0035095	behavioral response to nicotine	BP	5	3	0.0127099003063943	0.596587285146688	0.6
GO:0033603	positive regulation of dopamine secretion	BP	5	3	0.0127099003063943	0.596587285146688	0.6
GO:0002438	acute inflammatory response to antigenic stimulus	BP	5	3	0.0127099003063943	0.596587285146688	0.6
